Date,Open,High,Low,Close,Adj Close,Volume
2018-08-13,23.320000,23.559999,23.090000,23.250000,23.250000,108200
2018-08-14,23.180000,23.350000,22.930000,23.020000,23.020000,72200
2018-08-15,22.930000,23.270000,22.889999,23.150000,23.150000,77100
2018-08-16,23.230000,23.670000,23.230000,23.500000,23.500000,84300
2018-08-17,23.450001,23.639999,23.309999,23.400000,23.400000,58900
2018-08-20,23.379999,23.610001,22.990000,23.549999,23.549999,79600
2018-08-21,23.790001,24.070000,23.670000,23.969999,23.969999,77700
2018-08-22,23.900000,24.090000,23.350000,23.379999,23.379999,120100
2018-08-23,23.350000,23.379999,23.110001,23.240000,23.240000,97800
2018-08-24,23.260000,23.360001,23.170000,23.219999,23.219999,83900
2018-08-27,23.190001,23.790001,23.100000,23.660000,23.660000,141200
2018-08-28,23.660000,23.680000,23.250000,23.389999,23.389999,50000
2018-08-29,23.320000,23.500000,23.100000,23.170000,23.170000,42000
2018-08-30,23.180000,23.180000,22.889999,22.940001,22.940001,113500
2018-08-31,22.879999,23.070000,22.650000,22.770000,22.770000,77600
2018-09-04,22.709999,22.799999,22.370001,22.420000,22.420000,61600
2018-09-05,22.350000,22.480000,22.250000,22.379999,22.379999,95500
2018-09-06,22.459999,22.459999,22.270000,22.400000,22.400000,87100
2018-09-07,22.370001,22.770000,22.230000,22.650000,22.650000,103700
2018-09-10,22.750000,22.799999,22.190001,22.370001,22.370001,89800
2018-09-11,22.309999,22.500000,22.205000,22.480000,22.480000,55263
